＊ 音 音 音 音 音 音 音 音 音 音 音 音
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 勤 近 僅 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 形 杏 孕 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 銀 濘 佞 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 欣 〇 釁 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 因 引 印 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 巾 景 敬 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 卿 謦 磬 〇 〇 〇 〇 〇 〇
但 〇 〇 〇 亭 〇 定 〇 〇 〇 〇 〇 〇
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 〇 〇 林 領 吝 〇 〇 〇 〇 〇 〇
諦 〇 〇 〇 丁 鼎 訂 〇 〇 〇 〇 〇 〇
聽 〇 〇 〇 廳 艇 聽 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 〇 〇 〇 情 盡 淨 〇 〇 〇 〇 〇 〇
先 〇 〇 〇 辛 醒 信 〇 〇 〇 〇 〇 〇
之 〇 〇 〇 精 井 進 〇 〇 〇 〇 〇 〇
請 〇 〇 〇 青 寢 靚 〇 〇 〇 〇 〇 〇
排 〇 〇 〇 平 竝 病 〇 〇 〇 〇 〇 〇
明 〇 〇 〇 民 敏 命 〇 〇 〇 〇 〇 〇
編 〇 〇 〇 兵 丙 柄 〇 〇 〇 〇 〇 〇
配 〇 〇 〇 俜 品 聘 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
