＊ 聲 聲 聲 聲 聲 聲 聲 聲 聲 聲 聲 聲
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 恒 〇 恨 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 很 擤 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 恩 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 根 〇 艮 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 鏗 肯 硍 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 裙 〇 郡
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 雲 隕 運
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 勳 〇 訓
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 氳 尹 蘊
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 君 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 𧱝
但 騰 盾 遯 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 能 〇 嫩 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 倫 〇 論 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 登 等 頓 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 吞 氽 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 臣 朕 陣 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 神 忍 認 〇 〇 〇 〇 〇 〇 淳 蜃 順
勝 申 審 聖 〇 〇 〇 〇 〇 〇 〇 〇 舜
征 真 整 政 〇 〇 〇 〇 〇 〇 皸 菌 諄
倡 稱 騁 趁 〇 〇 〇 〇 〇 〇 春 蠢 〇
濁 㲀 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 存 〇 贈 〇 〇 〇 〇 〇 〇 秦 㬉 殉
先 森 損 滲 〇 〇 〇 〇 〇 〇 詢 榫 迅
之 尊 噂 諍 〇 〇 〇 〇 〇 〇 津 雋 俊
請 村 磣 寸 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 盆 〇 笨 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 門 〇 悶 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 奔 本 奔 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 烹 〇 噴 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 文 吻 問 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 分 粉 糞 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 㨡 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 魂 混 溷 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 昏 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 溫 穩 揾 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 昆 袞 棍 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 坤 捆 困 〇 〇 〇
