＊ 要 要 要 要 要 要 要 要 要 要 要 要
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 軪 嬲 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 豪 浩 號 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 敖 𪘑 傲 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 蒿 好 耗 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 凹 襖 奧 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 高 槁 酵 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 敲 考 靠 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 喬 〇 轎 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 肴 𦥝 效 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 鳥 尿 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 梟 曉 孝 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 妖 杳 要 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 交 矯 呌 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 撬 巧 竅 〇 〇 〇 〇 〇 〇
但 桃 道 盜 條 窕 銚 〇 〇 〇 〇 〇 〇
能 撓 腦 鬧 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 勞 老 勞 聊 了 料 〇 〇 〇 〇 〇 〇
諦 刀 島 到 貂 屌 釣 〇 〇 〇 〇 〇 〇
聽 滔 討 〇 挑 朓 糶 〇 〇 〇 〇 〇 〇
傳 潮 兆 召 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 饒 擾 劭 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 燒 少 少 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 招 沼 照 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 超 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 曹 造 漕 樵 〇 誚 〇 〇 〇 〇 〇 〇
先 騷 埽 噪 消 小 笑 〇 〇 〇 〇 〇 〇
之 遭 早 罩 焦 摷 醮 〇 〇 〇 〇 〇 〇
請 鈔 草 糙 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 袍 抱 暴 瓢 殍 摽 〇 〇 〇 〇 〇 〇
明 毛 卯 貌 苗 秒 妙 〇 〇 〇 〇 〇 〇
編 包 飽 豹 標 表 俵 〇 〇 〇 〇 〇 〇
配 拋 〇 皰 漂 縹 剽 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
