＊ 宜 宜 宜 宜 宜 宜 宜 宜 宜 宜 宜 宜
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 其 妓 忌 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 夷 綮 異 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 宜 擬 義 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 希 喜 戲 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 衣 以 意 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 雞 几 記 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 欺 起 器 〇 〇 〇 〇 〇 〇
但 〇 〇 〇 提 悌 地 〇 〇 〇 〇 〇 〇
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 〇 〇 离 理 利 〇 〇 〇 〇 〇 〇
諦 〇 〇 〇 低 底 帝 〇 〇 〇 〇 〇 〇
聽 〇 〇 〇 梯 體 替 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 〇 〇 〇 臍 〇 霽 〇 〇 〇 〇 〇 〇
先 〇 〇 〇 西 洗 細 〇 〇 〇 〇 〇 〇
之 〇 〇 〇 躋 癠 際 〇 〇 〇 〇 〇 〇
請 〇 〇 〇 栖 〇 砌 〇 〇 〇 〇 〇 〇
排 〇 〇 〇 皮 婢 避 〇 〇 〇 〇 〇 〇
明 〇 〇 〇 迷 米 謎 〇 〇 〇 〇 〇 〇
編 〇 〇 〇 屄 鄙 臂 〇 〇 〇 〇 〇 〇
配 〇 〇 〇 披 痞 譬 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 惟 尾 未 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 非 匪 廢 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
