＊ 諧 諧 諧 諧 諧 諧 諧 諧 諧 諧 諧 諧
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 駴 齘 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 鞋 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 蟹 喝 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 埃 矮 械 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 街 解 芥 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 揩 楷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 諧 〇 懈 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 也 隘 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 皆 解 介 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 〇 䈆 汏 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 〇 乃 奈 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 攋 賴 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 〇 歹 帶 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 䡨 〇 太 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 惹 射 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 奢 捨 舍 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 者 蔗 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 哆 撦 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 儕 廌 寨 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 柴 〇 〇 邪 〇 謝 〇 〇 〇 〇 〇 〇
先 衰 灑 曬 〇 〇 瀉 〇 〇 〇 〇 〇 〇
之 齋 〇 債 罝 姐 借 〇 〇 〇 〇 〇 〇
請 釵 揣 蔡 〇 〇 𢲶 〇 〇 〇 〇 〇 〇
排 牌 〇 敗 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 埋 買 賣 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 〇 擺 拜 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 〇 〇 派 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 懷 〇 外 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 𠿎 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 歪 〇 孬 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 乖 拐 怪 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 快 〇 〇 〇
