＊ 俗 俗 俗 俗 從 從 從 從 從 從 從 從
＊ 開 齊 合 撮 開 開 開 齊 齊 齊 合 合
＊ 入 入 入 入 平 上 去 平 上 去 平 上
共 〇 〇 〇 〇 〇 〇 共 〇 〇 〇 〇 〇
合 斛 〇 〇 〇 紅 澒 蕻 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 熇 〇 〇 〇 烘 汞 哄 〇 〇 〇 〇 〇
按 屋 〇 〇 〇 翁 滃 甕 〇 〇 〇 〇 〇
果 谷 〇 〇 〇 公 拱 貢 〇 〇 〇 〇 〇
康 哭 〇 〇 〇 空 孔 控 〇 〇 〇 〇 〇
求 〇 局 〇 〇 〇 〇 〇 窮 蛬 夐 〇 〇
諧 〇 育 〇 〇 〇 〇 〇 雄 溶 用 〇 〇
宜 〇 玉 〇 〇 〇 〇 〇 農 〇 〇 〇 〇
曉 〇 蓄 〇 〇 〇 〇 〇 凶 詾 哅 〇 〇
一 〇 郁 〇 〇 〇 〇 〇 雍 勇 詠 〇 〇
荊 〇 菊 〇 〇 〇 〇 〇 扃 炯 詗 〇 〇
腔 〇 曲 〇 〇 〇 〇 〇 穹 窘 〇 〇 〇
但 讀 〇 〇 〇 同 動 慟 〇 〇 〇 〇 〇
能 𩴓 〇 〇 〇 儂 〇 〇 〇 〇 〇 〇 〇
來 六 〇 〇 〇 隆 壟 弄 〇 〇 〇 〇 〇
諦 啄 〇 〇 〇 東 董 凍 〇 〇 〇 〇 〇
聽 禿 〇 〇 〇 通 桶 痛 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 趗 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 軸 〇 〇 〇 蟲 重 仲 〇 〇 〇 〇 〇
在 俗 〇 〇 〇 叢 宂 頌 〇 〇 〇 〇 〇
先 叔 〇 〇 〇 松 竦 送 〇 〇 〇 〇 〇
之 竹 〇 〇 〇 中 腫 眾 〇 〇 〇 〇 〇
請 促 〇 〇 〇 充 寵 銃 〇 〇 〇 〇 〇
排 薄 〇 〇 〇 篷 埲 〇 〇 〇 〇 〇 〇
明 木 〇 〇 〇 蒙 蠓 夢 〇 〇 〇 〇 〇
編 博 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 朴 〇 〇 〇 㠮 𢪋 〇 〇 〇 〇 〇 〇
無 服 〇 〇 〇 馮 奉 鳳 〇 〇 〇 〇 〇
方 福 〇 〇 〇 風 捧 俸 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
