＊ 從 從 從 從 吾 吾 吾 吾 吾 吾 吾 吾
＊ 合 撮 撮 撮 開 開 開 齊 齊 齊 合 合
＊ 去 平 上 去 平 上 去 平 上 去 平 上
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 徒 杜
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 奴 弩
來 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 盧 魯
諦 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 都 賭
聽 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 土
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 狙 〇
在 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
先 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 蘇 數
之 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 租 祖
請 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 麤 〇
排 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 蒲 簿
明 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 母 畝
編 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 補
配 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 鋪 普
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 無 父
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 夫 府
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 湖 戶
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 吾 午
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 呼 虎
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 烏 五
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 孤 古
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 枯 苦
