＊ 吾 吾 吾 吾 方 方 方 方 方 方 方 方
＊ 合 撮 撮 撮 開 開 開 齊 齊 齊 合 合
＊ 去 平 上 去 平 上 去 平 上 去 平 上
共 〇 〇 〇 〇 〇 〇 憃 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 杭 項 巷 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 昻 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 夯 𢛖 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 𧲱 盎 醠 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 缸 港 虹 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 康 沆 抗 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 強 彊 彊 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 陽 痒 漾 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 娘 仰 仰 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 香 享 向 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 央 怏 怏 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 姜 講 絳 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 腔 襁 〇 〇 〇
但 渡 〇 〇 〇 堂 盪 宕 〇 〇 〇 〇 〇
能 怒 〇 〇 〇 囊 曩 〇 〇 〇 〇 〇 〇
來 路 〇 〇 〇 郎 朗 閬 良 兩 亮 〇 〇
諦 妒 〇 〇 〇 當 黨 擋 〇 〇 〇 〇 〇
聽 兔 〇 〇 〇 湯 帑 湯 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 長 丈 長 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 常 上 尚 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 商 賞 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 章 掌 脹 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 昌 敞 唱 〇 〇 〇 〇 〇
濁 阼 〇 〇 〇 撞 〇 状 〇 〇 〇 〇 〇
在 〇 〇 〇 〇 牀 銺 臟 牆 象 匠 〇 〇
先 素 〇 〇 〇 雙 爽 喪 湘 想 相 〇 〇
之 怚 〇 〇 〇 裝 奘 葬 漿 蔣 醬 〇 〇
請 醋 〇 〇 〇 窗 搶 闖 槍 〇 㯔 〇 〇
排 步 〇 〇 〇 旁 棒 徬 〇 〇 〇 〇 〇
明 慕 〇 〇 〇 忙 莽 𥭚 〇 〇 〇 〇 〇
編 布 〇 〇 〇 邦 榜 謗 〇 〇 〇 〇 〇
配 圃 〇 〇 〇 滂 〇 肨 〇 〇 〇 〇 〇
無 霧 〇 〇 〇 亡 網 望 〇 〇 〇 〇 〇
方 富 〇 〇 〇 方 紡 訪 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 狂 〇
懷 護 〇 〇 〇 〇 〇 〇 〇 〇 〇 皇 〇
頑 誤 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 謼 〇 〇 〇 〇 〇 〇 〇 〇 〇 荒 幌
宛 惡 〇 〇 〇 〇 〇 〇 〇 〇 〇 汪 往
光 固 〇 〇 〇 〇 〇 〇 〇 〇 〇 光 廣
匡 庫 〇 〇 〇 〇 〇 〇 〇 〇 〇 匡 獷
