＊ 方 方 方 方 言 言 言 言 言 言 言 言
＊ 合 撮 撮 撮 開 開 開 齊 齊 齊 合 合
＊ 去 平 上 去 平 上 去 平 上 去 平 上
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 乾 件 健 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 言 限 鹽 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 年 撚 念 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 軒 險 獻 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 煙 偃 嚥 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 堅 繭 建 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 牽 歉 欠 〇 〇
但 〇 〇 〇 〇 〇 〇 〇 田 簟 電 〇 〇
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 〇 〇 〇 〇 〇 〇 連 臉 練 〇 〇
諦 〇 〇 〇 〇 〇 〇 〇 顛 典 坫 〇 〇
聽 〇 〇 〇 〇 〇 〇 〇 天 腆 忝 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 〇 〇 〇 〇 〇 〇 〇 前 漸 賤 〇 〇
先 〇 〇 〇 〇 〇 〇 〇 先 癬 線 〇 〇
之 〇 〇 〇 〇 〇 〇 〇 箋 翦 薦 〇 〇
請 〇 〇 〇 〇 〇 〇 〇 千 淺 倩 〇 〇
排 〇 〇 〇 〇 〇 〇 〇 騈 辨 卞 〇 〇
明 〇 〇 〇 〇 〇 〇 〇 棉 冕 面 〇 〇
編 〇 〇 〇 〇 〇 〇 〇 邊 貶 變 〇 〇
配 〇 〇 〇 〇 〇 〇 〇 偏 諞 片 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 旺 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 㴏 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 廣 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 曠 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
