＊ 言 言 言 言 求 求 求 求 求 求 求 求
＊ 合 撮 撮 撮 開 開 開 齊 齊 齊 合 合
＊ 去 平 上 去 平 上 去 平 上 去 平 上
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 侯 郈 候 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 藕 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 齁 吼 鱟 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 歐 嘔 漚 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 鉤 苟 構 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 摳 口 寇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 求 臼 舊 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 尤 酉 佑 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 牛 紐 狃 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 休 朽 齅 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 優 有 幼 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 鳩 久 救 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 邱 〇 〇 〇 〇
但 〇 〇 〇 〇 頭 〇 豆 〇 〇 〇 〇 〇
能 〇 〇 〇 〇 〇 㝅 耨 〇 〇 〇 〇 〇
來 〇 〇 〇 〇 樓 綹 漏 流 柳 澑 〇 〇
諦 〇 〇 〇 〇 兜 斗 鬬 〇 〇 〇 〇 〇
聽 〇 〇 〇 〇 偷 㪗 透 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 籌 紂 宙 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 柔 受 授 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 收 首 狩 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 周 帚 呪 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 抽 丑 臭 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 骤 〇 〇 〇 〇 〇
在 〇 〇 〇 〇 愁 〇 〇 囚 〇 袖 〇 〇
先 〇 〇 〇 〇 搜 叟 瘦 修 滫 秀 〇 〇
之 〇 〇 〇 〇 鄒 走 奏 揪 酒 〇 〇 〇
請 〇 〇 〇 〇 篘 嗾 湊 秋 〇 甃 〇 〇
排 〇 〇 〇 〇 抔 瓿 〇 〇 〇 〇 〇 〇
明 〇 〇 〇 〇 謀 某 茂 繆 〇 謬 〇 〇
編 〇 〇 〇 〇 彪 〇 〇 〇 〇 〇 〇 〇
配 〇 〇 〇 〇 〇 剖 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 浮 缶 復 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 否 覆 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
