＊ 求 求 求 求 而 而 而 而 而 而 而 而
＊ 合 撮 撮 撮 開 開 開 齊 齊 齊 合 合
＊ 去 平 上 去 平 上 去 平 上 去 平 上
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 〇 〇 〇 而 耳 二 〇 〇 〇 〇 〇
諦 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 池 痔 治 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 匙 〇 䜴 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 尸 〇 勢 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 知 紙 致 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 癡 恥 翅 〇 〇 〇 〇 〇
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 〇 〇 〇 〇 時 士 字 〇 〇 〇 〇 〇
先 〇 〇 〇 〇 詩 駛 賜 〇 〇 〇 〇 〇
之 〇 〇 〇 〇 之 紫 至 〇 〇 〇 〇 〇
請 〇 〇 〇 〇 雌 此 廁 〇 〇 〇 〇 〇
排 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
