＊ 隨 隨 隨 隨 隨 隨 隨 隨 隨 隨 隨 隨
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 䬵 㧡 𤻜 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 孩 亥 害 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 呆 〇 艾 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 咍 海 𥁐 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 哀 欸 愛 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 該 改 蓋 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 開 塏 愾 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 臺 待 兌 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 能 餒 內 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 來 蕾 類 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 堆 騃 對 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 胎 骽 退 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 垂 捶 睡 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 才 罪 瑞 〇 〇 〇 〇 〇 〇 〇 〇 〇
先 雖 水 歲 〇 〇 〇 〇 〇 〇 〇 〇 〇
之 栽 宰 醉 〇 〇 〇 〇 〇 〇 〇 〇 〇
請 崔 彩 菜 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 培 倍 備 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 媒 美 媚 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 杯 彼 貝 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 胚 俖 沛 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 葵 跪 潰 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 回 滙 位 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 危 頠 偽 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 灰 毀 誨 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 威 偉 畏 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 規 鬼 貴 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 魁 頍 塊 〇 〇 〇
