＊ 而 而 而 而 各 各 各 各 得 得 得 得
＊ 合 撮 撮 撮 開 齊 合 撮 開 齊 合 撮
＊ 去 平 上 去 入 入 入 入 入 入 入 入
共 〇 〇 〇 〇 〇 〇 〇 〇 㾑 〇 〇 〇
合 〇 〇 〇 〇 貉 〇 〇 〇 核 〇 〇 〇
呆 〇 〇 〇 〇 鶴 〇 〇 〇 屹 〇 〇 〇
亨 〇 〇 〇 〇 壑 〇 〇 〇 喝 〇 〇 〇
按 〇 〇 〇 〇 惡 〇 〇 〇 謁 〇 〇 〇
果 〇 〇 〇 〇 閣 〇 〇 〇 割 〇 〇 〇
康 〇 〇 〇 〇 搉 〇 〇 〇 渴 〇 〇 〇
求 〇 〇 〇 〇 〇 劇 〇 〇 〇 〇 〇 崛
諧 〇 〇 〇 〇 〇 葯 〇 〇 〇 〇 〇 月
宜 〇 〇 〇 〇 〇 虐 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 謔 〇 〇 〇 〇 〇 血
一 〇 〇 〇 〇 〇 約 〇 〇 〇 〇 〇 鬱
荊 〇 〇 〇 〇 〇 覺 〇 〇 〇 〇 〇 決
腔 〇 〇 〇 〇 〇 榷 〇 〇 〇 〇 〇 屈
但 〇 〇 〇 〇 鐸 〇 〇 〇 突 〇 〇 〇
能 〇 〇 〇 〇 諾 〇 〇 〇 納 〇 〇 〇
來 〇 〇 〇 〇 落 畧 〇 〇 肋 〇 〇 〇
諦 〇 〇 〇 〇 沰 〇 〇 〇 得 〇 〇 〇
聽 〇 〇 〇 〇 託 〇 〇 〇 脫 〇 〇 〇
傳 〇 〇 〇 〇 著 〇 〇 〇 秩 〇 〇 術
授 〇 〇 〇 〇 弱 〇 〇 〇 日 〇 〇 入
勝 〇 〇 〇 〇 爍 〇 〇 〇 室 〇 〇 說
征 〇 〇 〇 〇 勺 〇 〇 〇 質 汁 〇 黜
倡 〇 〇 〇 〇 綽 〇 〇 〇 赤 〇 〇 出
濁 〇 〇 〇 〇 酢 〇 〇 〇 𤃲 〇 〇 〇
在 〇 〇 〇 〇 昨 嚼 〇 〇 賊 〇 〇 絕
先 〇 〇 〇 〇 索 削 〇 〇 色 〇 〇 恤
之 〇 〇 〇 〇 卓 雀 〇 〇 則 〇 〇 卒
請 〇 〇 〇 〇 錯 𣛵 〇 〇 〇 〇 〇 〇
排 〇 〇 〇 〇 〇 〇 〇 〇 勃 〇 〇 〇
明 〇 〇 〇 〇 〇 〇 〇 〇 默 〇 〇 〇
編 〇 〇 〇 〇 〇 〇 〇 〇 撥 〇 〇 〇
配 〇 〇 〇 〇 〇 〇 〇 〇 潑 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 物 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 弗 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 硱 〇
懷 〇 〇 〇 〇 〇 〇 鑊 〇 〇 〇 活 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 攉 〇 〇 〇 忽 〇
宛 〇 〇 〇 〇 〇 〇 𪁕 〇 〇 〇 殟 〇
光 〇 〇 〇 〇 〇 〇 郭 〇 〇 〇 骨 〇
匡 〇 〇 〇 〇 〇 〇 廓 〇 〇 〇 闊 〇
