＊ 泉 泉 泉 泉 泉 泉 泉 泉 泉 泉 泉 泉
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 𢎘 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 寒 菡 捍 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 岸 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 酣 暵 漢 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 安 黯 暗 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 甘 敢 紺 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 刊 砍 勘 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 拳 〇 倦
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 圓 阮 院
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 元 輭 願
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 喧 烜 絢
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 𡨚 遠 怨
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 捐 卷 眷
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 棬 犬 勸
但 團 萏 段 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 南 煖 偄 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 巒 卵 亂 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 端 短 鍛 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 貪 疃 彖 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 纏 𢷹 纏 〇 〇 〇 〇 〇 〇 傳 篆 掾
授 然 染 膳 〇 〇 〇 〇 〇 〇 船 〇 〇
勝 羶 陜 苫 〇 〇 〇 〇 〇 〇 扇 〇 煽
征 詹 展 戰 〇 〇 〇 〇 〇 〇 專 剸 轉
倡 〇 喘 猭 〇 〇 〇 〇 〇 〇 川 舛 串
濁 〇 歜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 蠶 㔆 鏨 〇 〇 〇 〇 〇 〇 泉 〇 旋
先 酸 糂 蒜 〇 〇 〇 〇 〇 〇 宣 選 𨕖
之 〇 〇 〇 〇 〇 〇 〇 〇 〇 鑽 纂 鑽
請 驂 慘 竄 〇 〇 〇 〇 〇 〇 詮 〇 〇
排 盤 伴 叛 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 瞞 滿 蔓 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 般 粄 半 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 潘 〇 判 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 完 〇 換 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 玩 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 歡 〇 喚 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 剜 緩 腕 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 官 管 貫 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 寬 款 〇 〇 〇 〇
