＊ 更 更 更 更 更 更 更 更 更 更 更 更
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 桁 杏 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 硬 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 櫻 㹙 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 耕 梗 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 阬 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 塍 〇 橙 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
先 生 㾪 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
之 爭 𠏫 𢏰 〇 〇 〇 〇 〇 〇 〇 〇 〇
請 撐 〇 牚 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 彭 蚌 掽 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 盲 猛 孟 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 綳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 㧸 〇 掽 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 橫 〇 橫 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 浻 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 礦 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
