＊ 何 何 何 何 何 何 何 何 何 何 何 何
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 河 禍 賀 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 蛾 我 臥 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 訶 火 貨 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 窩 㛂 涴 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 哥 果 箇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 科 可 課 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 駝 墮 惰 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 捼 娜 稬 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 羅 裸 邏 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 多 朶 刴 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 拖 妥 唾 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 雛 〇 助 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 鋤 坐 座 〇 〇 〇 〇 〇 〇 〇 〇 〇
先 梳 鎖 疏 〇 〇 〇 〇 〇 〇 〇 〇 〇
之 〇 左 佐 〇 〇 〇 〇 〇 〇 〇 〇 〇
請 初 楚 挫 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 婆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 摹 麼 磨 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 波 簸 播 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 坡 叵 破 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
