＊ 法 法 法 法 畫 畫 畫 畫 一 一 一 一
＊ 開 齊 合 撮 開 齊 合 撮 開 齊 合 撮
＊ 入 入 入 入 入 入 入 入 入 入 入 入
共 軋 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 磍 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 齾 〇 〇 〇 額 〇 〇 〇 〇 〇 〇 〇
亨 瞎 〇 〇 〇 嚇 〇 〇 〇 〇 〇 〇 〇
按 鴨 〇 〇 〇 𢼛 〇 〇 〇 〇 〇 〇 〇
果 斠 〇 〇 〇 格 〇 〇 〇 〇 〇 〇 〇
康 掐 〇 〇 〇 客 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 竭 〇 〇
諧 〇 〇 〇 越 〇 協 〇 〇 〇 葉 〇 〇
宜 〇 〇 〇 〇 〇 捻 〇 〇 〇 逆 〇 〇
曉 〇 〇 〇 〇 〇 嗋 〇 〇 〇 吸 〇 〇
一 〇 〇 〇 〇 〇 壓 〇 〇 〇 一 〇 〇
荊 〇 〇 〇 〇 〇 甲 〇 〇 〇 吉 〇 〇
腔 〇 〇 〇 〇 〇 隙 〇 〇 〇 乞 〇 〇
但 踏 〇 〇 〇 〇 蝶 〇 〇 〇 笛 〇 〇
能 捺 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 蠟 〇 〇 〇 〇 捩 〇 〇 〇 律 〇 〇
諦 答 〇 〇 〇 〇 跌 〇 〇 〇 滴 〇 〇
聽 塔 〇 〇 〇 〇 鐵 〇 〇 〇 踢 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 射 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 𠿡 〇 〇 〇 澤 〇 〇 〇 〇 〇 〇 〇
在 閘 〇 〇 〇 石 捷 〇 〇 〇 習 〇 〇
先 薩 〇 〇 〇 柵 屑 〇 〇 〇 息 〇 〇
之 札 〇 〇 〇 窄 節 〇 〇 〇 迹 〇 〇
請 插 〇 〇 〇 尺 切 〇 〇 〇 漆 〇 〇
排 拔 〇 〇 〇 白 〇 〇 〇 〇 鼻 〇 〇
明 韤 〇 〇 〇 陌 篾 〇 〇 〇 密 〇 〇
編 八 〇 〇 〇 伯 〇 〇 〇 〇 必 〇 〇
配 汃 〇 〇 〇 帕 〇 〇 〇 〇 匹 〇 〇
無 伐 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 髮 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 滑 〇 〇 〇 畫 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 豁 〇 〇 〇 〇 〇
宛 〇 〇 斡 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 括 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
