＊ 翻 翻 翻 翻 翻 翻 翻 翻 翻 翻 翻 翻
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 銜 〇 陷 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 顏 眼 雁 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 憨 喊 莧 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 淹 〇 晏 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 姦 揀 襇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 鉛 檻 嵌 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
但 談 澹 憚 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 難 赧 難 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 藍 嬾 纜 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 丹 膽 旦 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 灘 坦 嘆 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 殘 棧 暫 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 饞 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
先 山 散 霰 〇 〇 〇 〇 〇 〇 〇 〇 〇
之 〇 斬 讚 〇 〇 〇 〇 〇 〇 〇 〇 〇
請 攙 產 璨 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 〇 〇 辦 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 蠻 嘪 慢 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 斑 版 絆 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 攀 眅 盼 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 煩 范 萬 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 番 反 氾 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 𡰝 〇 摜 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 還 〇 宦 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 頑 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 彎 綰 輓 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 關 〇 慣 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 𤜍 〇 〇 〇 〇 〇
