＊ 查 查 查 查 查 查 查 查 查 查 查 查
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 夏 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 牙 瓦 砑 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 蝦 閜 罅 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 丫 啞 嗄 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 枷 假 架 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 㧎 掗 岕 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 茄 〇 〇 〇 〇 〇 〇 〇 〇
諧 〇 〇 〇 霞 廈 夜 〇 〇 〇 〇 〇 〇
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
曉 〇 〇 〇 鞾 㗿 〇 〇 〇 〇 〇 〇 〇
一 〇 〇 〇 鴉 雅 亞 〇 〇 〇 〇 〇 〇
荊 〇 〇 〇 佳 斝 稼 〇 〇 〇 〇 〇 〇
腔 〇 〇 〇 𡤫 〇 〇 〇 〇 〇 〇 〇 〇
但 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 拏 那 那 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 𠿛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
諦 〇 打 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 他 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
授 〇 𣝒 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
勝 賒 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
征 遮 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
倡 〇 䰩 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
濁 茶 〇 乍 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 蛇 〇 灹 斜 〇 〇 〇 〇 〇 〇 〇 〇
先 沙 耍 𢇗 〇 〇 〇 〇 〇 〇 〇 〇 〇
之 𣙁 痄 詐 嗟 〇 〇 〇 〇 〇 〇 〇 〇
請 叉 奼 託 〇 〇 〇 〇 〇 〇 〇 〇 〇
排 爬 罷 罷 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 麻 馬 罵 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 巴 把 霸 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 葩 〇 怕 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 划 〇 畫 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 花 〇 化 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 蛙 搲 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 瓜 寡 卦 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 誇 踝 跨 〇 〇 〇
