＊ 諸 諸 諸 諸 諸 諸 諸 諸 諸 諸 諸 諸
＊ 開 開 開 齊 齊 齊 合 合 合 撮 撮 撮
＊ 平 上 去 平 上 去 平 上 去 平 上 去
共 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
合 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
呆 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
亨 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
按 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
果 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
康 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
求 〇 〇 〇 〇 〇 〇 〇 〇 〇 渠 巨 具
諧 〇 〇 〇 〇 〇 〇 〇 〇 〇 余 宇 預
宜 〇 〇 〇 〇 〇 〇 〇 〇 〇 魚 女 御
曉 〇 〇 〇 〇 〇 〇 〇 〇 〇 墟 許 酗
一 〇 〇 〇 〇 〇 〇 〇 〇 〇 於 羽 飫
荊 〇 〇 〇 〇 〇 〇 〇 〇 〇 居 舉 據
腔 〇 〇 〇 〇 〇 〇 〇 〇 〇 驅 去 去
但 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
能 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
來 〇 〇 〇 〇 〇 〇 〇 〇 〇 閭 旅 慮
諦 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
聽 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
傳 〇 〇 〇 〇 〇 〇 〇 〇 〇 除 柱 住
授 〇 〇 〇 〇 〇 〇 〇 〇 〇 儒 乳 樹
勝 〇 〇 〇 〇 〇 〇 〇 〇 〇 書 暑 恕
征 〇 〇 〇 〇 〇 〇 〇 〇 〇 朱 主 著
倡 〇 〇 〇 〇 〇 〇 〇 〇 〇 妤 鼠 處
濁 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
在 〇 〇 〇 〇 〇 〇 〇 〇 〇 徐 序 〇
先 〇 〇 〇 〇 〇 〇 〇 〇 〇 須 髓 祟
之 〇 〇 〇 〇 〇 〇 〇 〇 〇 菹 咀 詛
請 〇 〇 〇 〇 〇 〇 〇 〇 〇 蛆 取 娶
排 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
明 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
編 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
配 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
無 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
方 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
狂 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
懷 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
頑 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
況 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
宛 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
光 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
匡 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇 〇
